Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-19,,20823.05,,,,39704.16,,,2124.87,,,,68114.53,,42360.47,,,,,28323.86,,,,,,,,,282622.9,,6464.35,19111.39,,127139.79,,389.05,,
1979-07-20,,21728.44,,,,39817.17,,,2228.81,,,,60915.0,,42572.03,,,,,27401.03,,,,,,,,,267053.31,,6205.36,20570.69,,138253.2,,344.06,,
1979-07-21,,22156.48,,,,40342.1,,,2180.6,,,,57519.75,,41205.94,,,,,25898.65,,,,,,,,,283371.63,,6062.83,20706.36,,128614.78,,352.77,,
1979-07-22,,22100.35,,,,39379.2,,,2057.76,,,,58182.11,,38916.96,,,,,24909.67,,,,,,,,,278837.51,,5465.79,21159.33,,122888.62,,317.06,,
1979-07-23,,21860.49,,,,37177.59,,,2086.23,,,,52448.13,,33381.94,,,,,24054.16,,,,,,,,,281952.76,,5519.88,19188.6,,127414.5,,372.44,,
1979-07-24,,21459.56,,,,31684.54,,,2204.58,,,,47980.08,,34759.71,,,,,24148.82,,,,,,,,,277911.76,,5356.29,19390.5,,126508.29,,385.39,,
1979-07-25,,22037.64,,,,30653.72,,,2197.6,,,,48320.48,,36176.4,,,,,24484.51,,,,,,,,,288130.38,,6100.97,19282.74,,143486.38,,415.29,,
1979-07-26,,21885.65,,,,30343.73,,,2304.32,,,,47738.89,,35950.5,,,,,23066.73,,,,,,,,,286435.47,,5783.16,19603.92,,155681.38,,461.09,,
1979-07-27,,22198.82,,,,32502.22,,,2267.15,,,,46454.11,,35458.5,,,,,23272.09,,,,,,,,,289031.02,,5918.54,19576.85,,160410.62,,499.86,,
1979-07-28,,22725.83,,,,35811.41,,,2231.96,,,,42426.6,,34945.29,,,,,22678.51,,,,,,,,,289361.98,,5848.3,19915.19,,151539.95,,451.0,,
1979-07-29,,22069.83,,,,36334.78,,,2385.93,,,,43842.97,,33111.66,,,,,23247.27,,,,,,,,,279421.91,,5835.26,19834.1,,146452.79,,448.51,,
1979-07-30,,22631.25,,,,38011.6,,,2272.59,,,,42678.07,,33797.85,,,,,24137.76,,,,,,,,,280059.38,,6109.07,20435.11,,146486.24,,439.81,,
1979-07-31,,22613.42,,,,36697.8,,,2185.25,,,,43559.3,,32444.36,,,,,23712.58,,,,,,,,,280951.43,,6011.88,22387.04,,146812.36,,377.21,,
1979-08-01,,21872.01,,,,35570.64,,,2240.85,,,,43506.32,,32191.65,,,,,23992.61,,,,,,,,,261153.97,,6267.15,23057.28,,143913.94,,404.0,,
1979-08-02,,22850.01,,,,34837.27,,,1995.92,,,,42325.77,,31789.15,,,,,24583.95,,,,,,,,,290634.48,,6511.01,24204.76,,147725.27,,399.01,,
1979-08-03,,22801.44,,,,34883.79,,,1990.26,,,,42105.93,,30670.13,,,,,24375.5,,,,,,,,,286231.24,,6378.02,24622.56,,148180.57,,343.78,,
1979-08-04,,21816.89,,,,37707.47,,,1946.61,,,,42260.28,,30930.61,,,,,24623.25,,,,,,,,,295886.36,,6454.77,23436.33,,172990.45,,383.28,,
1979-08-05,,22448.29,,,,38581.08,,,2025.97,,,,43522.31,,30768.15,,,,,25438.61,,,,,,,,,296530.18,,6615.35,20480.33,,172846.58,,389.96,,
1979-08-06,,22562.01,,,,36110.82,,,2267.88,,,,43995.04,,30554.51,,,,,25180.31,,,,,,,,,293434.99,,6218.07,20372.75,,174749.03,,393.51,,
1979-08-07,,22931.73,,,,35382.26,,,2446.47,,,,43528.4,,30931.78,,,,,23394.37,,,,,,,,,295968.05,,6404.61,20344.4,,175824.54,,382.57,,
1979-08-08,,23373.29,,,,35505.01,,,2319.6,,,,40494.24,,30661.63,,,,,23641.37,,,,,,,,,285458.29,,6332.88,20329.09,,168998.63,,381.29,,
1979-08-09,,22875.65,,,,33800.18,,,2178.67,,,,40821.82,,29136.92,,,,,23229.03,,,,,,,,,270377.18,,6574.89,19555.43,,146343.69,,404.64,,
1979-08-10,,24334.22,,,,32649.18,,,2398.7,,,,41413.93,,29266.52,,,,,23111.99,,,,,,,,,289885.99,,6003.64,20064.96,,152652.9,,331.33,,
1979-08-11,,23522.51,,,,28407.14,,,2284.76,,,,35897.73,,29260.81,,,,,21153.5,,,,,,,,,275005.75,,5490.22,20964.56,,145260.78,,421.44,,
1979-08-12,,22155.41,,,,28604.68,,,2283.82,,,,39337.62,,29361.05,,,,,20825.67,,,,,,,,,288492.48,,5432.24,20939.0,,147491.73,,382.34,,
1979-08-13,,21043.99,,,,28807.78,,,2222.5,,,,45809.59,,31152.14,,,,,22598.95,,,,,,,,,281112.45,,5172.08,20359.81,,160026.54,,469.09,,
1979-08-14,,21399.76,,,,27054.38,,,2234.5,,,,44090.64,,32691.33,,,,,22944.54,,,,,,,,,263499.68,,4870.43,20733.94,,160043.56,,433.13,,
1979-08-15,,21271.97,,,,29031.76,,,2234.96,,,,39311.58,,29128.13,,,,,23286.5,,,,,,,,,264710.09,,4718.15,21172.18,,163101.97,,442.47,,
1979-08-16,,21180.31,,,,32081.37,,,2933.65,,,,38584.73,,32052.05,,,,,23315.27,,,,,,,,,282145.82,,3697.08,21127.91,,152305.03,,342.46,,
1979-08-17,,21137.21,,,,30379.04,,,3022.8,,,,39179.42,,32145.24,,,,,22427.94,,,,,,,,,260297.93,,3577.76,20539.57,,160932.22,,349.57,,
1979-08-18,,21194.67,,,,23015.92,,,3421.68,,,,38900.57,,33696.12,,,,,13542.92,,,,,,,,,283076.06,,3137.91,20662.24,,156622.89,,342.86,,
1979-08-19,,21022.45,,,,19227.03,,,3312.85,,,,39077.29,,34570.89,,,,,14096.17,,,,,,,,,289883.07,,3307.44,21046.84,,157666.36,,459.73,,
1979-08-20,,21241.62,,,,19121.26,,,3096.37,,,,38919.67,,35262.74,,,,,15650.36,,,,,,,,,291213.84,,3455.23,21148.98,,151181.78,,660.09,,
1979-08-21,,21422.04,,,,18220.91,,,2551.79,,,,39190.54,,33391.58,,,,,21995.25,,,,,,,,,255893.61,,3461.89,21319.79,,157060.71,,684.21,,
1979-08-22,,21923.22,,,,18653.38,,,2456.16,,,,43047.42,,32839.13,,,,,22836.04,,,,,,,,,260282.47,,3867.45,21030.28,,148085.82,,683.9,,
1979-08-23,,21059.38,,,,20033.52,,,2448.14,,,,42100.22,,33731.31,,,,,25032.59,,,,,,,,,283327.5,,3718.21,21253.36,,149392.8,,669.07,,
1979-08-24,,22832.91,,,,18287.17,,,2813.69,,,,46404.55,,34812.57,,,,,18390.22,,,,,,,,,294175.67,,3915.51,21087.99,,160662.31,,649.58,,
1979-08-25,,21068.34,,,,20335.06,,,2854.51,,,,45521.86,,38094.01,,,,,15588.76,,,,,,,,,302385.22,,3901.26,20057.02,,172765.16,,514.97,,
1979-08-26,,19193.18,,,,30259.8,,,2871.48,,,,43555.97,,37098.04,,,,,13249.74,,,,,,,,,299360.81,,3694.56,19499.22,,163084.72,,540.19,,
1979-08-27,,18807.31,,,,25230.1,,,2471.38,,,,41319.34,,36641.18,,,,,13691.33,,,,,,,,,288736.68,,3485.92,19134.11,,177314.49,,547.29,,
1979-08-28,,19105.37,,,,18636.01,,,2172.87,,,,40452.91,,36045.23,,,,,13772.7,,,,,,,,,295150.97,,3344.06,19567.79,,198508.94,,546.79,,
1979-08-29,,18575.58,,,,18211.04,,,1926.92,,,,38426.97,,36622.51,,,,,14485.25,,,,,,,,,289596.43,,3232.36,19499.38,,191768.49,,544.41,,
1979-08-30,,17890.74,,,,16861.32,,,1732.7,,,,36493.97,,37057.72,,,,,16782.77,,,,,,,,,275787.19,,3244.18,19273.88,,183609.01,,533.49,,
1979-08-31,,16349.52,,,,20594.27,,,1813.7,,,,34039.6,,37313.78,,,,,16764.35,,,,,,,,,293931.24,,3184.96,19456.88,,186283.87,,531.8,,
1979-09-01,,14412.97,,,,21041.21,,,1759.21,,,,31391.17,,38158.86,,,,,17555.68,,,,,,,,,295604.63,,3171.64,19480.51,,190025.38,,541.91,,
1979-09-02,,13768.1,,,,23990.76,,,1755.81,,,,30140.5,,35898.49,,,,,17484.62,,,,,,,,,302409.92,,3388.88,19966.78,,182431.96,,546.43,,
1979-09-03,,13947.36,,,,25004.94,,,1529.82,,,,30718.81,,35583.69,,,,,17697.15,,,,,,,,,291999.36,,3741.74,19701.63,,193496.47,,518.12,,
1979-09-04,,14941.02,,,,24946.79,,,1722.47,,,,32205.59,,37402.68,,,,,18119.35,,,,,,,,,297571.79,,4574.35,18807.65,,202578.33,,448.7,,
1979-09-05,,14150.31,,,,22577.86,,,1732.52,,,,31335.17,,38490.98,,,,,13646.2,,,,,,,,,315963.4,,4573.91,18475.4,,206793.33,,480.0,,
1979-09-06,,12614.19,,,,23101.23,,,1758.01,,,,27673.48,,38504.49,,,,,13132.6,,,,,,,,,327876.03,,4359.2,17246.6,,205644.92,,478.52,,
1979-09-07,,11668.88,,,,23678.63,,,1848.12,,,,26601.19,,39073.05,,,,,13909.96,,,,,,,,,309147.0,,4277.94,15288.39,,208464.18,,573.08,,
1979-09-08,,10478.26,,,,23389.59,,,1756.59,,,,27750.11,,38961.2,,,,,19382.84,,,,,,,,,292911.45,,4166.88,15217.88,,208346.8,,530.12,,
1979-09-09,,10605.4,,,,25120.15,,,1691.38,,,,28755.92,,37884.82,,,,,19816.06,,,,,,,,,306225.57,,4308.7,14935.71,,204570.13,,416.01,,
1979-09-10,,10728.9,,,,23983.81,,,1796.72,,,,27997.59,,37582.5,,,,,19885.51,,,,,,,,,306580.94,,4109.84,14773.23,,201126.03,,437.01,,
